ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
Property,ElectricOnPropertyYN,Electric On Property Yes/No,Does the property currently have electrical utility available on the property.,Utilities,Boolean,,,,,,Electricidad en la Propiedad SN,Active,f451c64,100287,,,No,"LAND,FARM",,2016-06-21,2016-01-21,,ElectricOnPropertyYN Field,https://ddwiki.reso.org/display/DDW17/ElectricOnPropertyYN+Field,1130488,,,
Property,ElementarySchool,Elementary School,The name of the primary school having a catchment area that includes the associated property.,"Location,School","String List, Single",,50,,,,Escuela Primaria,Active,24015e0,100093,Open,ElementarySchool,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",IDX,2018-12-26,2018-12-05,,ElementarySchool Field,https://ddwiki.reso.org/display/DDW17/ElementarySchool+Field,1130295,,,
Property,ElementarySchoolDistrict,Elementary School District,The name of the elementary school district having a catchment area that includes the associated property.,"Location,School","String List, Single",,50,,,,Distrito de Escuela Primaria,Active,2c4cb25,100096,Open,ElementarySchoolDistrict,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",IDX,2018-12-26,2018-12-05,,ElementarySchoolDistrict Field,https://ddwiki.reso.org/display/DDW17/ElementarySchoolDistrict+Field,1130301,,,
Property,Elevation,Elevation,The elevation of the property in relation to sea level. Use the Elevation Units field to communicate the unit of measurement. i.e. Feet or Meters.,"Location,GIS",Number,,5,,,,Elevación,Active,6d93749,100904,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",,2014-07-03,2013-12-04,,Elevation Field,https://ddwiki.reso.org/display/DDW17/Elevation+Field,1130251,,,Elevation = [value]
Property,ElevationUnits,Elevation Units,"A pick list of the unit of measurement used in the Elevation field. i.e. Feet, Meters.","Location,GIS","String List, Single",,10,,,,Unidades de Elevación,Active,c38bfde,100905,Open with Enumerations,LinearUnits,No,"RESI,RLSE,RINC,LAND,MOBI,FARM",,2016-06-21,2016-01-11,,ElevationUnits Field,https://ddwiki.reso.org/display/DDW17/ElevationUnits+Field,1130258,,,
Property,EntryLevel,Entry Level,"A numeric field that describes the level within the structure, SFR or a unit in a building, where the main entry to the dwelling is located. When a unit has one floor it is implicit that this is also the level of the unit itself.",Structure,Number,,4,,Unit Floor Number,,Nivel de Entrada,Active,c978b75,100854,,,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2013-05-21,2013-01-17,,EntryLevel Field,https://ddwiki.reso.org/display/DDW17/EntryLevel+Field,1130061,,,
Property,EntryLocation,Entry Location,"A description of the main entry way to the property. i.e. Elevator, Ground Level w/ Steps, Ground Level w/o Steps, Mid Level, Top Level, etc.",Structure,String,,50,,Entry Description,,Ubicación de Entrada,Active,8eec420,100853,,,No,"RESI,RLSE,RINC,MOBI,FARM",,2013-05-21,2012-09-05,,EntryLocation Field,https://ddwiki.reso.org/display/DDW17/EntryLocation+Field,1130067,,,
Property,Exclusions,Exclusions,Elements of the property that will not be included in the sale. i.e. Chandeliers will be removed prior to close.,"Listing,Contract",String,,1024,,ExclusionRemarks,,Exclusiones,Active,09a46c3,100056,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",,2018-12-26,2018-12-05,,Exclusions Field,https://ddwiki.reso.org/display/DDW17/Exclusions+Field,1130208,,,
Property,ExistingLeaseType,Existing Lease Type,"Information about the status of the existing lease on the property. i.e. Net, NNN, NN, Gross, Absolute Net, Escalation Clause, Ground Lease, etc.",Financial,"String List, Multi",,75,,,,Tipo de Arrendamiento Existente,Active,177d652,100885,Open with Enumerations,ExistingLeaseType,No,"RINC,COML",,2013-11-19,2015-08-12,,ExistingLeaseType Field,https://ddwiki.reso.org/display/DDW17/ExistingLeaseType+Field,1130001,,,
Property,ExpirationDate,Expiration Date,"The date when the listing agreement will expire. This is the date entered by the agent reflecting when the change occurred, or will occur, contractually, not a timestamp of when the change was made in the MLS. The expiration date of listings, prior to their expiration, cancellation, sale or lease, is confidential information and should be restricted to the agent and their managers, partners or broker.","Listing,Dates",Date,,10,,"DateExpired, Expired",,Fecha de Expiración,Active,37c28f8,100016,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",,2016-06-21,2015-11-18,,ExpirationDate Field,https://ddwiki.reso.org/display/DDW17/ExpirationDate+Field,1130029,,,
Property,ExteriorFeatures,Exterior Features,A list of features or description of the exterior of the property included in the sale/lease.,Structure,"String List, Multi",,1024,,,,Características Externas,Active,fe9c81c,100344,Open with Enumerations,ExteriorFeatures,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2018-12-05,,ExteriorFeatures Field,https://ddwiki.reso.org/display/DDW17/ExteriorFeatures+Field,1130073,,,
Property,FarmCreditServiceInclYN,Farm Credit Service Incl Yes/No,Specifies whether or not Farm Credit Service shares are included in the price of the property.,Farming,Boolean,,,,,,Servicio de Crédito Agrícola Incluido SN,Active,0710f15,100299,,,No,FARM,,2014-07-03,2013-11-21,,FarmCreditServiceInclYN Field,https://ddwiki.reso.org/display/DDW17/FarmCreditServiceInclYN+Field,1130224,,,
Property,FarmLandAreaSource,Farm Land Area Source,"The source of the measurements. This may be a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc. This field applies to all farm area fields (Cultivated, Pasture, Range, Wooded)",Farming,"String List, Single",,50,,,,Fuente de Área de Tierra Agrícola,Active,44742b6,100301,Open with Enumerations,AreaSource,No,FARM,,2016-06-21,2016-01-11,,FarmLandAreaSource Field,https://ddwiki.reso.org/display/DDW17/FarmLandAreaSource+Field,1130229,,,
Property,FarmLandAreaUnits,Farm Land Area Units,"A pick list of the unit of measurement for the area. i.e. Square Feet, Square Meters, Acres, etc. This field applies to all farm area fields (Cultivated, Pasture, Range, Wooded)",Farming,"String List, Single",,25,,,,Unidades de Área de Tierra Agrícola,Active,0a39b0d,100300,Open with Enumerations,AreaUnits,No,FARM,,2016-06-21,2016-01-11,,FarmLandAreaUnits Field,https://ddwiki.reso.org/display/DDW17/FarmLandAreaUnits+Field,1130236,,,
Property,Fencing,Fencing,A list of types of fencing found at the property being sold.,Characteristics,"String List, Multi",,1024,,,,Cercado,Active,ea6b73d,100297,Open,Fencing,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,Fencing Field,https://ddwiki.reso.org/display/DDW17/Fencing+Field,1129858,,,
Property,FinancialDataSource,Financial Data Source,"The source of the Rental information. For example Accountant, Owner, etc.",Financial,"String List, Multi",,75,,,,Fuente de Información Financiera,Active,f51975f,100887,Open with Enumerations,FinancialDataSource,No,RINC,,2013-11-19,2015-08-12,,FinancialDataSource Field,https://ddwiki.reso.org/display/DDW17/FinancialDataSource+Field,1130007,,,
Property,FireplaceFeatures,Fireplace Features,A list of features or description of the fireplace(s) included in the sale/lease.,Structure,"String List, Multi",,1024,,,,Características de Chimenea,Active,8b0ba2d,100347,Open with Enumerations,FireplaceFeatures,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2018-12-05,,FireplaceFeatures Field,https://ddwiki.reso.org/display/DDW17/FireplaceFeatures+Field,1130079,,,
Property,FireplaceYN,Fireplace Yes/No,Does the property include a fireplace.,Structure,Boolean,,,,,,Chimenea SN,Active,e28a47b,100858,,,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2018-12-05,,FireplaceYN Field,https://ddwiki.reso.org/display/DDW17/FireplaceYN+Field,1130084,,,"Heating Type = ""Fireplace"""
Property,FireplacesTotal,Fireplaces Total,The total number of fireplaces included in the property.,Structure,Number,,3,,,,Total de Chimeneas,Active,00a8dbc,100350,,,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2018-12-05,,FireplacesTotal Field,https://ddwiki.reso.org/display/DDW17/FireplacesTotal+Field,1130091,,,"Heating Type = ""Fireplace""Quantity = [value]"
Property,Flooring,Flooring,A list of the type(s) of flooring found within the property.,Structure,"String List, Multi",,1024,,,,Piso,Active,48007b8,100354,Open with Enumerations,Flooring,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,Flooring Field,https://ddwiki.reso.org/display/DDW17/Flooring+Field,1130096,,,"Location = ""Interior"" Opaque Surface = ""Floor"" Finish = [value]"
Property,FoundationArea,Foundation Area,The area or dimensions of the footprint of the structure on the lot.,Structure,Number,,14,2,,,Área de Cimientos,Active,e1bcdfc,100316,,,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",,2011-11-09,2012-04-20,,FoundationArea Field,https://ddwiki.reso.org/display/DDW17/FoundationArea+Field,1130105,,,"Floor Area Qualifier = ""Footprint""Area = [value]"
Property,FoundationDetails,Foundation Details,A list of the type(s) of foundation on which the property sits.,Structure,"String List, Multi",,1024,,,,Detalle de Cimientos,Active,e8077f8,100353,Open with Enumerations,FoundationDetails,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,FoundationDetails Field,https://ddwiki.reso.org/display/DDW17/FoundationDetails+Field,1130110,,,
Property,FrontageLength,Frontage Length,Textual description of the length of the frontages selected in the Frontage Type field.,Characteristics,String,,255,,,,Longitud de Fachada,Active,66993f5,100788,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",,2012-04-20,2012-04-20,,FrontageLength Field,https://ddwiki.reso.org/display/DDW17/FrontageLength+Field,1129864,,,
Property,FrontageType,Frontage Type,"Pick list of types of frontage. i.e. Oceanfront, Lakefront, Golf course, etc. Information about roads or road frontage should be located in the Road Frontage Type and Road Surface Type fields.",Characteristics,"String List, Multi",,1024,,,,Tipo de Fachada,Active,09bb132,100786,Open,FrontageType,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",,2017-08-09,2018-06-02,,FrontageType Field,https://ddwiki.reso.org/display/DDW17/FrontageType+Field,1129870,,,
Property,FuelExpense,Fuel Expense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Financial,Number,,14,2,,,Gasto de Gasolina,Active,ab0705e,100266,,,No,"RINC,COMS,COML",,2014-07-03,2013-12-04,,FuelExpense Field,https://ddwiki.reso.org/display/DDW17/FuelExpense+Field,1130013,,,
Property,Furnished,Furnished,"The property being leased is furnished, unfurnished or partially furnished.",Characteristics,"String List, Single",,50,,,,Amueblado,Active,c994fbc,100936,Open with Enumerations,Furnished,No,RLSE,,2016-06-21,2016-01-11,1.4.0,Furnished Field,https://ddwiki.reso.org/display/DDW17/Furnished+Field,1129876,,,
Property,FurnitureReplacementExpense,Furniture Replacement Expense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Financial,Number,,14,2,,,Gasto de Reemplazo de Muebles,Active,c0ffa28,100265,,,No,RINC,,2011-11-09,2012-04-20,,FurnitureReplacementExpense Field,https://ddwiki.reso.org/display/DDW17/FurnitureReplacementExpense+Field,1130018,,,
Property,GarageSpaces,Garage Spaces,The number of spaces in the garage(s).,Structure,Number,,14,2,,,Espacios de Garaje,Active,f321048,100318,,,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2018-12-05,,GarageSpaces Field,https://ddwiki.reso.org/display/DDW17/GarageSpaces+Field,1130117,,,"Location = ""Garage""Spatial Unit Type = ""Parking space""Quantity = [value]"
Property,GarageYN,Garage Yes/No,"A flag indicating that the listing has a garage. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.",Structure,Boolean,,,,,,Garaje SN,Active,f6a50ac,100317,,,No,"RESI,RLSE,RINC,MOBI,FARM",,2018-12-26,2018-12-05,,GarageYN Field,https://ddwiki.reso.org/display/DDW17/GarageYN+Field,1130122,,,"Location = ""Garage""Quantity = [value]"
Property,GardenerExpense,Gardener Expense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Financial,Number,,14,2,,,Gasto de Jardinero,Active,36fdc2c,100264,,,No,RINC,,2017-08-09,2012-04-20,,GardenerExpense Field,https://ddwiki.reso.org/display/DDW17/GardenerExpense+Field,1130024,,,
